,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,,,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,,factory_industrial_part_top,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_top,,,,,,,,,,,factory_industrial_part_top,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,,water_left_01,petrol_full_top_right_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_full_top_left_01,water_right_01,factory_industrial_part_top,house_cupboard_01,house_wardrobe,lab_cupboard_01,lab_cupboard_01,medical_cupboard_01,medical_cupboard_01,factory_industrial_part_top,,,misc_chainwheel_left_right,misc_chainwheel_left_right,misc_chainwheel_left_right,misc_chainwheel_left_right,misc_chainwheel_left_right,factory_industrial_part_left_02,,,factory_industrial_part_top,
,,,,,,,,,,,,,,,,,,,,,,,,,,,water_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_01,,,,,,,,,,,,,,,,,,,,,,,,,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,,water_bottom_left_01,petrol_right_01,petrol_01,petrol_01,petrol_01,petrol_01,petrol_01,petrol_left_01,water_right_01,factory_industrial_part_top,,,,,bg,bg,factory_industrial_part_top,,,misc_chainwheel_left_right,misc_chainwheel_left_right,misc_chainwheel_left_right,misc_chainwheel_left_right,misc_chainwheel_left_right,factory_industrial_part_left_02,[1],,factory_industrial_part_top,
,,,,,,,,,,,,,,,,,,,,,,,,,,,water_left_01,petrol_bottom_right_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_bottom_left_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_left_01,petrol_full_top_right_01,petrol_01,petrol_01,petrol_01,petrol_01,petrol_01,petrol_bottom_01,petrol_full_bottom_left_01,water_right_01,factory_industrial_part_top,,misc_barrel,misc_barrel,house_bed_right,military_crate,military_crate,factory_industrial_part_top,,,misc_chainwheel_left_right,misc_chainwheel_left_right,misc_chainwheel_left_right,misc_chainwheel_left_right,misc_chainwheel_left_right,factory_industrial_part_left_02,,,factory_industrial_part_top,
,,,,,,,,,,,,,,,,,,,,,,,,,,,water_left_01,petrol_vertical_01,water_top_right_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_left_01,petrol_vertical_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_left_01,petrol_full_right_01,petrol_bottom_01,petrol_bottom_01,petrol_bottom_01,petrol_bottom_01,petrol_full_bottom_left_01,water_top_right_01,water_01,water_01,factory_industrial_part_top,door_02_close,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_top,,,misc_chainwheel_left_right,misc_chainwheel_left_right,misc_chainwheel_left_right,misc_chainwheel_left_right,misc_chainwheel_left_right,factory_industrial_part_left_02,,,factory_industrial_part_top,
,,,,,,,,,,,,,,,,,,,,,,,,,,,water_left_01,petrol_vertical_01,water_right_01,,,,,,,petrol_vertical_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,,,,factory_industrial_part_top,bg,,,,,,door_02_close,,,misc_chainwheel_left_right,misc_chainwheel_left_right,misc_chainwheel_left_right,misc_chainwheel_left_right,misc_chainwheel_left_right,factory_industrial_part_left_02,,,factory_industrial_part_top,
,,,,,,,,,,,,,,,,,water_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_left_01,petrol_vertical_01,water_right_01,,water_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_left_01,petrol_vertical_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,,,,,,,,,,,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_top,,,,,,,,,,,factory_industrial_part_top,
,,,,,,,,,,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_left_01,petrol_bottom_right_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_top_left_01,water_right_01,,water_left_01,petrol_bottom_right_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_horizontal_top_01,petrol_bottom_left_01,water_bottom_right_01,water_bottom_01,water_bottom_01,,,,,,,,,,,,,,,,,,,,,,water_01,water_01,water_01,water_01,water_01,,water_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,,,,,,@,@,@,@,@,@,@,@,factory_industrial_part_top,,,,,,,,,,,factory_industrial_part_top,
,,,,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_left_01,dirty_top_right_01,dirty_top_01,dirty_top_01,dirty_top_01,military_crate,military_crate,military_crate,dirty_top_left_01,petrol_vertical_01,water_top_right_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_01,water_01,water_left_01,petrol_vertical_01,water_top_right_01,water_top_01,water_top_01,water_top_left_01,petrol_top_right_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_bottom_left_01,water_right_01,,,,,,,,,,,,,,,,,,,,,water_01,water_01,water_01,water_01,water_01,,water_left_01,dirty_top_right_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_left_01,water_right_01,,,,,@,,,,,,military_crate,@,factory_industrial_part_top,,,,,,road_curve_top_01,road_sewer_top_01,road_sewer_top_01,road_curve_bottom_01,,factory_industrial_part_top,
