water_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_left_01,,,,,,water_bottom_right_01,,,,,,,,,,,,,,,,,,,,,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_bottom_left_01,,,,,,,,,,,,,,,,,,,,,garden_tree_16,,,water_bottom_right_01,water_bottom_01,,,,,,,,,,,,,,,,,water_bottom_01,water_bottom_left_01,garden_tree_8,garden_tree_8,garden_tree_7,garden_grass_3,garden_grass_3,garden_tree_8,garden_stone,garden_stone,water_bottom_right_01,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_bottom_left_01,,,,,garden_tree_16,,,,,,,,,,,,,,,,,,,,,,water_bottom_right_01,water_bottom_01,water_bottom_01,,,,,,,,,,,,,water_bottom_left_01,garden_tree_8,garden_grass_2,garden_grass_2,garden_tree_8,garden_grass_2,garden_stone,garden_grass_2,garden_grass_2,garden_tree_8,garden_stone,garden_stone,water_bottom_right_01,water_bottom_01,water_bottom_01,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_bottom_left_01,dirty_right_01,,,,,garden_stone,,,,,,,,,,,,,,,,,,,,,,,dirty_bottom_left_01,garden_tree_12,water_bottom_right_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_left_01,garden_tree_3,garden_grass_2,garden_tree_7,garden_grass_2,garden_tree_11,garden_tree_3,garden_tree_3,garden_tree_11,garden_grass_2,garden_tree_8,garden_tree_8,garden_stone,garden_stone,garden_stone,garden_stone,water_bottom_right_01,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,water_bottom_01,water_bottom_left_01,,dirty_right_01,,,,garden_tree_16,,,,,,,,,,garden_tree_16,garden_stone,,,,,,,,,,,,dirty_bottom_left_01,garden_tree_12,garden_tree_3,garden_tree_12,garden_tree_3,garden_tree_12,garden_tree_3,garden_tree_12,garden_tree_12,garden_tree_3,garden_stone,garden_grass_3,garden_grass_3,garden_grass_3,garden_tree_3,garden_grass_3,garden_grass_2,garden_tree_8,garden_grass_3,garden_grass_2,garden_tree_3,garden_tree_3,garden_tree_3,garden_tree_8,garden_tree_7,garden_tree_8,garden_tree_12,garden_tree_3,garden_tree_10,garden_stone,garden_stone,water_right_01,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,water_bottom_left_01,,,,dirty_bottom_right_01,dirty_bottom_01,,,,,,,,,,,,,,,,,,,,,,,,,dirty_bottom_left_01,garden_stone,garden_tree_3,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,garden_tree_12,garden_tree_3,garden_grass_3,garden_tree_11,garden_tree_3,garden_tree_3,garden_tree_7,garden_stone,garden_tree_8,garden_tree_7,garden_tree_8,garden_stone,garden_tree_7,garden_tree_3,garden_tree_8,garden_grass_2,garden_grass_2,garden_tree_8,garden_tree_8,garden_grass_2,garden_stone,garden_stone,water_bottom_right_01,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,water_bottom_left_01,garden_tree_8,garden_tree_8,,,,,dirty_bottom_right_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,,,,,,,,,,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_left_01,garden_stone,garden_stone,garden_tree_9,outside_metal_fence_1,garden_tree_10,garden_dirty_1,garden_tree_10,garden_tree_10,garden_grass_1,outside_metal_fence_1,garden_stone,garden_tree_3,garden_grass_1,garden_tree_7,garden_grass_2,garden_grass_2,garden_grass_2,garden_grass_1,garden_grass_1,garden_tree_8,garden_tree_8,garden_tree_11,garden_tree_8,garden_tree_8,garden_tree_8,garden_tree_3,garden_stone,garden_tree_8,garden_grass_2,garden_tree_10,garden_grass_2,garden_stone,garden_stone,water_bottom_right_01,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,water_bottom_left_01,garden_tree_11,garden_dirty_1,garden_dirty_1,garden_tree_11,garden_dirty_1,garden_grass_3,,,,,,,,,,,,dirty_bottom_right_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_left_01,,,,garden_grass_3,garden_tree_3,garden_tree_10,garden_tree_3,garden_tree_3,outside_metal_fence_1,garden_grass_3,wooden_wall_01,wooden_wall_01,wooden_wall_01,garden_dirty_1,outside_metal_fence_1,garden_tree_12,garden_stone,garden_grass_2,crate,crate,military_crate,military_crate,garden_tree_7,garden_grass_1,garden_tree_12,garden_tree_7,garden_tree_8,garden_tree_8,garden_tree_12,garden_tree_3,garden_tree_10,garden_tree_10,garden_tree_6,garden_grass_2,garden_tree_6,garden_grass_2,garden_grass_2,garden_stone,garden_stone,water_bottom_right_01,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,water_left_01,garden_tree_3,garden_tree_11,,,,,,,,,,,garden_grass_3,garden_grass_3,,,garden_grass_3,,,,,,,,,,,,,,garden_grass_3,garden_tree_10,garden_grass_2,garden_dirty_2,garden_grass_2,outside_metal_door_01_close,garden_grass_3,outside_wooden_door_01_close,,wooden_wall_01,garden_grass_1,outside_metal_fence_1,garden_stone,garden_grass_1,garden_grass_2,crate,crate,garden_grass_2,garden_grass_2,garden_grass_1,garden_grass_1,garden_tree_3,garden_tree_12,garden_tree_3,garden_stone,garden_stone,garden_tree_10,garden_tree_6,garden_tree_10,garden_tree_6,garden_tree_8,garden_tree_6,garden_tree_11,garden_tree_6,garden_grass_2,garden_stone,garden_stone,water_right_01,,,,,,,,
