,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,factory_industrial_part_top,misc_barrel,misc_barrel,misc_barrel,,misc_chainwheel_left_right,factory_industrial_part_left_02,,,factory_industrial_part_left_02,outside_metal_fence_1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_01,,,,,,,,,,,,,,,,,,,factory_industrial_part_top,misc_barrel,military_crate,,,misc_chainwheel_left_right,factory_industrial_part_left_02,,,factory_industrial_part_left_02,outside_metal_fence_1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_bottom_left_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_bottom_right_01,,,,,,,,,,,,,,,,,,,factory_industrial_part_top,,,,,misc_chainwheel_left_right,factory_industrial_part_left_02,,,,outside_metal_fence_1
,,,,,,,,,,,,,,,,,,,,,,,,,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_left_01,,,,,,,,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,,,,,,,,,,,,,,,,,,,,,,,,,water_right_01,,,,,,,,,,,,,,,,,,@,@,window_01,@,,misc_chainwheel_left_right,,[2],,,outside_metal_fence_1
,,,,,,,,,,,,,,,,,,,,,,,,water_bottom_left_01,,,,,,,,,,,,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_left_01,,,,,,,,dirty_bottom_right_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,,,,,,,,,,,,,water_right_01,,,,,,,,,,,,,,,,,,window_01,house_bench,,door_02_open,,misc_chainwheel_left_right,factory_industrial_part_left_02,,,,outside_metal_fence_1
,,,,,,,,,,,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_left_01,,,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_left_01,,,,,,,garden_tree_8,,garden_stone,,,,,,,,,,,,,,,dirty_bottom_right_01,dirty_bottom_01,dirty_bottom_01,,,,,,,,,,water_right_01,,,,,,,,,,,,,,,,,,@,military_radio,house_fridge,window_01,,,,,,,outside_metal_fence_1
,,,,,,,,,,water_bottom_left_01,,,,,,,,,,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_left_01,,,,,,,,,,,garden_stone,,,,,,,,,,,,garden_tree_8,,,garden_grass_3,,,,garden_grass_1,,garden_grass_3,,,,,dirty_bottom_right_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_01,,water_top_right_01,,,,,,,,,,,,,,,,,,,@,window_01,@,@,,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1
,,,,,,,,,water_bottom_left_01,,,dirty_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_left_01,,,,,,,,,garden_grass_1,,,garden_tree_8,,misc_blood,,,,,,garden_tree_8,misc_dead,garden_grass_3,,,,,,,,,,,,garden_tree_8,,,,,,,garden_stone,,,,,,,,dirty_right_01,,water_right_01,,,,,,,,,,,,,,,,,,,,,,outside_metal_fence_1,,outside_metal_fence_1,,,,,
,,,,,,,,water_left_01,,,,dirty_bottom_left_01,,,,,,,,,,,,garden_tree_6,,,,,,,,,,,garden_tree_8,,,,,,,,,garden_tree_8,,,,garden_stone,,,garden_tree_8,,,,,,,garden_tree_8,,,,,,garden_tree_8,,,,dirty_right_01,,water_right_01,,,,,,,,,,,,,,,,,,factory_industrial_part_left_02,factory_industrial_part_left_02,,,outside_metal_fence_1,,outside_metal_fence_1,,,factory_industrial_part_left_02,factory_industrial_part_left_02,
,,,,,,,,water_left_01,,,dirty_left_01,,misc_dead,garden_grass_2,,misc_blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garden_tree_6,,,,,wooden_wall_01,wooden_wall_01,wooden_wall_01,wooden_wall_01,wooden_wall_01,wooden_wall_01,wooden_wall_01,wooden_wall_01,wooden_wall_01,,,,,,garden_tree_8,,dirty_right_01,,water_right_01,,,,,,,,,,,,,,,,,,factory_industrial_part_left_02,factory_industrial_part_left_02,outside_metal_fence_1,factory_industrial_part_left,outside_metal_fence_1,outside_metal_door_01_close,outside_metal_fence_1,factory_industrial_part_left,outside_metal_fence_1,factory_industrial_part_left_02,factory_industrial_part_left_02,
,,,,,,,,water_left_01,,,dirty_left_01,,garden_grass_1,,,,,,,,garden_tree_3,garden_grass_2,,garden_tree_4,garden_stone,,garden_grass_3,garden_tree_8,garden_tree_8,,garden_tree_11,,garden_tree_4,,,garden_tree_11,,garden_tree_4,garden_grass_1,,garden_tree_3,,garden_tree_4,,,garden_tree_3,,garden_grass_1,garden_tree_8,,garden_tree_11,wooden_wall_01,dirty_top_right_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_left_01,wooden_wall_01,,,garden_tree_8,,,,,dirty_right_01,,water_right_01,,,,,,,,,,,,,,,,,,,outside_metal_fence_1,misc_barrel,misc_barrel,bg,bg,bg,military_crate,military_crate,outside_metal_fence_1,,
,,,,,,,,water_left_01,,,dirty_left_01,,,garden_tree_8,garden_tree_8,,garden_grass_2,,,,dirty_river_bottom_right_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,outside_wooden_door_01_close,military_crate,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_left_01,wooden_wall_01,garden_tree_8,,,,,,,dirty_right_01,,water_right_01,,,,,,,,,,,,,,,,,,,factory_industrial_part_top,misc_barrel,bg,dirty_river_vertical_01,bg,dirty_river_vertical_01,bg,bg,factory_industrial_part_top,,
,,,,,,,,water_left_01,,,dirty_left_01,,,garden_tree_8,garden_tree_8,,,,,,dirty_river_vertical_01,garden_tree_4,,,,garden_tree_4,garden_grass_2,garden_tree_7,,,garden_tree_7,,,garden_tree_4,garden_tree_11,garden_tree_4,garden_grass_1,,,garden_stone,garden_tree_8,garden_tree_8,,,,garden_tree_8,,,,,garden_tree_6,wooden_wall_01,dirty_bottom_right_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_left_01,wooden_wall_01,,,,,,,,dirty_right_01,,water_right_01,,,,,,,,,,,,,,,,,,,factory_industrial_part_top,bg,bg,dirty_river_vertical_right_01,dirty_river_horizontal_01,dirty_river_vertical_left_01,bg,bg,factory_industrial_part_top,,
